,MCF7,HEPG2,HT29,A375,PC3,YAPC,A549,HCC515
PLXND1,6.167117030227439,5.647026632654853,5.0152477736989365,4.394376944957055,2.2448870591235344,5.802451741275622,5.072963271555223,4.613531652917927
AK2,7.431957187686731,7.075639588578602,7.915042791371977,7.854182706501244,7.3852584556943155,7.02945288578697,7.2750070474998685,6.751544059089098
CD38,0.2016338611696504,0.0,0.0840642647884745,0.137503523749935,0.0565835283663675,0.3561438102252753,2.500802053057157,0.4329594072761063
FKBP4,6.979796718278201,5.266786540694901,6.309612772454122,5.732811872082943,5.7596884884272885,5.445925298579273,6.972807513686734,6.547511523644216
KDM1A,5.633431210355632,6.030115330908071,6.1945598860226125,6.124328135002202,5.995258373404689,5.527007760637202,5.742814669862892,5.230741002626909
RBM6,5.157852169141737,5.40735275114004,5.10055722078293,5.017031080527841,5.809157164691589,5.378164779871632,4.434961760187254,5.380937194927824
CAMKK1,1.4854268271702415,1.2016338611696504,2.558267634055736,0.8399595874895318,2.0840642647884744,1.2141248053528475,2.845991770664573,0.3448284969974412
RECQL,4.2890967024199895,3.974529312483882,4.446917864866027,6.197314999473817,4.460087240116833,5.040454121349624,6.264724074238008,5.126807703142035
VPS50,3.0531113364595623,2.563158130402808,3.4369613378336026,3.5385381636298034,3.5873649909364618,3.51096191927738,3.353323291162897,3.7268312170324935
HSPB6,0.4222330006830478,0.2265085298086797,0.1763227726404629,0.2986583155645152,0.1634987322828795,0.5945485495503542,0.0426443374084937,0.1634987322828795
ARHGAP33,4.111031312388744,1.9634741239748856,3.424922088210688,0.7739963251111731,1.2690331464552371,3.2839217723076177,1.6780719051126378,2.6507645591169022
NDUFAB1,7.831433929351911,7.994692854585605,7.692371399708664,7.913846824263043,6.665762266508348,7.36667191611176,6.9829935746943095,6.672990993827747
PDK4,0.4005379295837289,0.137503523749935,1.713695814843359,4.160274831408593,0.632268215499513,2.931683057059806,1.5360529002402097,2.5704629310260407
SLC22A16,0.0285691521967709,0.0426443374084937,0.0,0.2509615735332188,0.0,0.0,0.0,0.0
ZMYND10,0.8073549220576041,0.2750070474998698,0.3561438102252753,0.5360529002402097,1.6461626571578936,1.7570232465074596,0.4956951626240688,1.1890338243900171
ABCB5,0.0285691521967709,0.0,0.0,0.0,0.0,0.0285691521967709,0.0,0.0
ARX,0.4114262457264651,0.0,0.0426443374084937,0.0,0.01435529297707,0.2016338611696504,0.1763227726404629,0.0426443374084937
SLC25A13,4.358255586705128,5.096346198993175,4.973611275519472,4.363171077119244,3.969012307516316,4.7655347463629765,5.151371776253955,4.6865005271832185
ST7,3.7430840555495855,3.819668183496456,4.159467729266766,4.16430358309365,3.919340082442013,4.314696525656286,4.195347598322218,4.06177619758669
CDC27,5.011674533380918,4.957450336347116,4.148934104526338,5.368768349090336,5.743084055549586,5.754887502163467,6.208478242211705,4.985500430304885
SLC4A1,0.0285691521967709,0.0,0.0,0.0,0.0285691521967709,0.0,0.0,0.0
CALCR,2.451540833017832,0.0,0.0,0.0,0.0,0.0426443374084937,0.0,0.0
HCCS,4.983221650742669,4.818134760810847,4.292781749227847,5.282810439572558,5.727375938594898,5.409051438538562,5.866166169039039,5.643856189774724
DVL2,4.677508242264722,4.315421315945779,4.016139702655253,4.7839804136837945,3.611172380044005,4.22881869049588,4.236492618381302,4.241840183564671
PRSS22,4.568640195419222,0.0840642647884745,4.928844036712569,0.0565835283663675,2.925999418556223,6.651769271417988,0.1634987322828795,3.821710215034674
UPF1,5.116863757690898,5.150965783556497,4.75595576955096,4.6881803585869255,4.388189537156085,5.289834465177509,3.984589350362457,4.177120502846517
SKAP2,3.3757345385831563,2.835924074254375,4.37851162325373,5.262282806420656,3.5655971758542253,4.957914598632986,4.177917792195843,4.414812060565847
SLC25A5,9.447248568601776,8.589463892956097,9.395855412613368,9.27111281670205,9.09378726951834,9.420086539762709,9.29252870335344,9.178590162530952
